class_index,class_name,fpr,tpr,threshold,roc_auc
1,Tomato_Early_blight,0.8142857142857143,0.8888888888888888,1.2416476569197333e-06,0.7936507936507936
1,Tomato_Early_blight,0.8142857142857143,1.0,1.0889966398775279e-06,0.7936507936507936
1,Tomato_Early_blight,1.0,1.0,4.669551218880261e-08,0.7936507936507936
2,Tomato_Late_blight,0.0,0.0,,0.8028985507246377
2,Tomato_Late_blight,0.0,0.1,0.9999982791343399,0.8028985507246377
2,Tomato_Late_blight,0.0,0.2,0.9999980322294152,0.8028985507246377
2,Tomato_Late_blight,0.014492753623188406,0.2,0.9999966355435148,0.8028985507246377
2,Tomato_Late_blight,0.014492753623188406,0.4,0.9999963374214252,0.8028985507246377
2,Tomato_Late_blight,0.028985507246376812,0.4,0.9999914553236794,0.8028985507246377
2,Tomato_Late_blight,0.028985507246376812,0.6,0.9999872303050945,0.8028985507246377
2,Tomato_Late_blight,0.043478260869565216,0.6,0.9999772494498487,0.8028985507246377
2,Tomato_Late_blight,0.043478260869565216,0.7,0.9999545969332633,0.8028985507246377
2,Tomato_Late_blight,0.07246376811594203,0.7,0.9999426241043486,0.8028985507246377
2,Tomato_Late_blight,0.07246376811594203,0.8,0.9998021304931005,0.8028985507246377
2,Tomato_Late_blight,0.8405797101449275,0.8,1.1596472735889138e-06,0.8028985507246377
2,Tomato_Late_blight,0.8405797101449275,0.9,7.510446800676384e-07,0.8028985507246377
2,Tomato_Late_blight,0.927536231884058,0.9,2.836724557635135e-07,0.8028985507246377
2,Tomato_Late_blight,0.927536231884058,1.0,2.6153024697394906e-07,0.8028985507246377
2,Tomato_Late_blight,1.0,1.0,3.5804430434611334e-08,0.8028985507246377
3,Tomato_Leaf_Mold,0.0,0.0,,0.589041095890411
3,Tomato_Leaf_Mold,0.0136986301369863,0.0,0.9999935108148623,0.589041095890411
3,Tomato_Leaf_Mold,0.0136986301369863,0.16666666666666666,0.9955715486889238,0.589041095890411
3,Tomato_Leaf_Mold,0.0958904109589041,0.16666666666666666,0.030284550925882333,0.589041095890411
3,Tomato_Leaf_Mold,0.0958904109589041,0.3333333333333333,0.017384240213029013,0.589041095890411
3,Tomato_Leaf_Mold,0.5205479452054794,0.3333333333333333,1.3419503053008556e-05,0.589041095890411
3,Tomato_Leaf_Mold,0.5205479452054794,0.5,1.2219241180369498e-05,0.589041095890411
3,Tomato_Leaf_Mold,0.547945205479452,0.5,9.334616143717304e-06,0.589041095890411
3,Tomato_Leaf_Mold,0.547945205479452,0.6666666666666666,8.580482273602751e-06,0.589041095890411
3,Tomato_Leaf_Mold,0.6301369863013698,0.6666666666666666,2.0933786604100176e-06,0.589041095890411
3,Tomato_Leaf_Mold,0.6301369863013698,0.8333333333333334,1.9224742472447757e-06,0.589041095890411
3,Tomato_Leaf_Mold,0.6575342465753424,0.8333333333333334,1.1647083913967967e-06,0.589041095890411
3,Tomato_Leaf_Mold,0.6575342465753424,1.0,1.14801527711841e-06,0.589041095890411
3,Tomato_Leaf_Mold,1.0,1.0,3.849122169038416e-08,0.589041095890411
4,Tomato_Septoria_leaf_spot,0.0,0.0,,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.0,0.08333333333333333,0.9999985740097811,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.0,0.3333333333333333,0.9999670247541046,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.04477611940298507,0.3333333333333333,0.9995758244866828,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.04477611940298507,0.4166666666666667,0.9995722967632663,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.07462686567164178,0.4166666666666667,0.9954869947244986,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.07462686567164178,0.5,0.9809065449147738,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.14925373134328357,0.5,0.0711860716534397,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.14925373134328357,0.75,0.03732238362287387,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.43283582089552236,0.75,9.801257855660442e-05,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.43283582089552236,0.8333333333333334,6.756198183620191e-05,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.5671641791044776,0.8333333333333334,2.1425409236384583e-05,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.5671641791044776,0.9166666666666666,1.905822914012944e-05,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.6716417910447762,0.9166666666666666,6.346151324678717e-06,0.8134328358208955
4,Tomato_Septoria_leaf_spot,0.6716417910447762,1.0,4.199964295364983e-06,0.8134328358208955
4,Tomato_Septoria_leaf_spot,1.0,1.0,1.1224452359034942e-07,0.8134328358208955
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.0,0.0,,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.0,0.06666666666666667,0.9999468245572318,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.0,0.5333333333333333,0.8083491455711874,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.03125,0.5333333333333333,0.4061929586977813,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.03125,0.6666666666666666,0.09480325927813807,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.078125,0.6666666666666666,0.053925317277335044,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.078125,0.7333333333333333,0.018494124444130813,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.09375,0.7333333333333333,0.010095108037197008,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.09375,0.8,0.0012954846920971137,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.265625,0.8,8.693348868182227e-05,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.265625,0.8666666666666667,7.760451739298381e-05,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.359375,0.8666666666666667,1.7791129781322593e-05,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.359375,0.9333333333333333,1.6064849605050704e-05,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.75,0.9333333333333333,5.195495559599703e-07,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.75,1.0,4.711171367375316e-07,0.8927083333333333
7,Tomato__Tomato_YellowLeaf__Curl_Virus,1.0,1.0,5.6583859488509494e-08,0.8927083333333333
8,Tomato__Tomato_mosaic_virus,0.0,0.0,,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.014492753623188406,0.0,0.02720638896236318,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.028985507246376812,0.0,0.01934492225746914,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.028985507246376812,0.1,0.0190647220855465,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.07246376811594203,0.1,0.0051977731648494814,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.07246376811594203,0.2,0.0047535224636716285,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.13043478260869565,0.2,0.0015493274811881562,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.13043478260869565,0.3,0.0008926861598231162,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.14492753623188406,0.3,0.0007695242975755243,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.14492753623188406,0.6,0.0005264026707910286,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.15942028985507245,0.6,0.0004395314895817315,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.15942028985507245,0.7,0.00040379807854005117,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.2463768115942029,0.7,0.00023424063112272408,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.2463768115942029,0.8,0.00012570874355291828,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.2608695652173913,0.8,0.00012394321567399323,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,0.2608695652173913,1.0,7.533672899994923e-05,0.8405797101449275
8,Tomato__Tomato_mosaic_virus,1.0,1.0,5.3382344798334963e-08,0.8405797101449275
9,Tomato_healthy,0.0,0.0,,0.7623239436619718
9,Tomato_healthy,0.0,0.125,0.9221420798542163,0.7623239436619718
9,Tomato_healthy,0.028169014084507043,0.125,0.004537341135129751,0.7623239436619718
9,Tomato_healthy,0.028169014084507043,0.25,0.003566256028816029,0.7623239436619718
9,Tomato_healthy,0.056338028169014086,0.25,0.0026472934297060444,0.7623239436619718
9,Tomato_healthy,0.056338028169014086,0.375,0.0021073203059415197,0.7623239436619718
9,Tomato_healthy,0.08450704225352113,0.375,0.0013165739749628198,0.7623239436619718
9,Tomato_healthy,0.08450704225352113,0.5,0.0006961955571688748,0.7623239436619718
9,Tomato_healthy,0.14084507042253522,0.5,0.0002899983169291141,0.7623239436619718
9,Tomato_healthy,0.14084507042253522,0.625,0.00024918884129806194,0.7623239436619718
9,Tomato_healthy,0.2676056338028169,0.625,8.548107934472325e-05,0.7623239436619718
9,Tomato_healthy,0.2676056338028169,0.75,8.308388618149046e-05,0.7623239436619718
9,Tomato_healthy,0.5211267605633803,0.75,4.192336784705973e-06,0.7623239436619718
9,Tomato_healthy,0.5211267605633803,0.875,3.910257743692213e-06,0.7623239436619718
9,Tomato_healthy,0.8028169014084507,0.875,6.282977683554874e-07,0.7623239436619718
9,Tomato_healthy,0.8028169014084507,1.0,5.027207172964778e-07,0.7623239436619718
9,Tomato_healthy,1.0,1.0,1.6065068841107092e-07,0.7623239436619718
